Text,Sentiment
Very simple and effective way for new words for kids,1
My son loved it,1
 It is easy even though my son is in first grade,1
 Highly recommend it,1
,1
Brilliant A brilliant app that is challenging but great fun,1
 The only thing I think could be better is if they grouped each difficulty together,1
" Other than that, it's fantastic and I love playing it",1
Good I have gotten several updates and new games help out alot,1
,1
I love it If u don't spend no money you'll have fun any way,1
Best Emojis ever I've tried just about all of these emojis and this collection is by far the Best,1
Animal hair salon This is the best game my niece ever had she learn how to use clipers so she can cut her cousin hair,1
 Good mix of games play daily,1
  like fireworks when win a game,1
  Thanks,1
,1
Interesting game Please player vs player i really really loved this app so cant sleep without playing itD,1
 Found new quicker routes to places I've been going for years,1
Really fun app I love it its very fun you should buy it but there is some glitches but i rate 5 over all,1
,1
Awesome So far game has no glitches,1
" Nice graphics, very fun",1
" Played for over an hour first time I play, couldn't put it down",1
" This is the only game that I have purchased, best game I have played  Hopefully no problems in the future",1
,1
Great App This app really breaks down the Bible so that it can really be understood,1
,1
Mr  Brand Pretorius I use it alot ,1
,1
,1
,1
 and happy ,1
,1
,1
,1
 if posible please ad lynx 624 x 44DT Hohold over recticke  please please please,1
Fun It was cool,1
"Soopa fast Great app but it allways has my team getting beat Sort that out  there'll be another 50,000 downloading  LIVE SCORES,,",1
"Paid for the App, now Pay for Levels I paid 3 for this wonderful app, and I beat all the levels, Now I have to pay an extra 1 for more levels",1
,1
,1
,1
"Great game Alot of honest fun and good design that doesn't force advertisements on you, good job Yahtzee",1
,1
Loved it PEOPLE it can't be updated it originally came out on PC,1
I love this game Its so fun,1
I love it jooo It is good beautiful,1
Amazing its really fun I have it on both of my devices,1
I really like this game only need a faster way to collect money any advice Thanks for the free game,1
I'm a human Shazam anyway But I still find myself needing a little extra help sometimes usually when a song I don't know is about to end,1
"Great game Perfect little word game that you can play for a few minutes, or a few hours",1
,1
This app is supper  cool Loved it,1
I love this game it's great I finished all levels 180 in 3 stars  and looney cards plz,1
 Finsh some levels with updat soon to i can play again am waiting ,1
,1
,1
 Thank you,1
Great time waster I've used this app mainly on road trips with friends,1
 Its great if your ever stuck with nothing to do with a few people,1
 Everyone seems to enjoy it,1
,1
Christian Emojis Fantastic,1
 I like I them alot,1
 Thanks,1
,1
,1
,1
,1
Enough reason for 5 stars,1
"Brilliant I think coin dozer is absolutely necessary for children, amazing, but it would let u down if u lost a massive coin But all together its awesome",1
Well worth it In my first week home with my newborn this app has really helped me kee track of feedings and diapers,1
Hussain Continue your work man,1
Soooo addictive Play against someone and tryen have them beat your score and go back and forth and restart when you choose its sooooo fun your just try to beat your own score as much as you can,1
 addictive,1
Great app,1
 I use the Yo Windows on my laptop too,1
 I would not use any other,1
 I have tried others but nothing beats YO WINDOOWS,1
,1
LOVE it The rims and the color of the cars and the lemozen car OMG can't help it I love love love,1
1 So cool if you are an avid  boardgames like me,1
 Game itself is very immersive and soundtrack is a nice touch too,1
,1
My rating This game is so the best game ever no ads pop out and no more short ads videos or whatever so happoy,1
FUN FUN FUN Ok this game is so fun but it gets so boring but its so fun if your like 7 8 or 9 years old this is the perfect game for yall 10 11 and 12 don't get this game serisly,1
I completed the entire game I finished all the levels in the game,1
" Ericus mountains, Red Rock Valley and Lotus Point",1
 It was really fun indeed,1
,1
"Great, satisfying, arcade racing experience",1
,1
,1
,1
 5 Title says it all,1
,1
,1
,1
,1
,1
 Thanks for the amazing racing series,1
,1
,1
,1
5,1
,1
,1
6,1
,1
,1
,1
,1
,1
Not so bad Sometimes teathering hotspot won't get established n smetimes it won't gt connected to required one n also can't change the storage location,1
Just try it Was never a fan of slots or pokie machines but this,1
,1
,1
 This is the most enjoyable app I've downloaded,1
,1
 ,1
 ,1
 Love this game,1
 Things are not expensive Just enough to train everything full,1
" Not hard to gain diamonds just go forward n u can have them  almost completed, few levels more then the aliens are destroyed for good",1
Amazing I like how you don't just go and eat you have to use your mass wisely or else you will be smaller than the one your chasing,1
 Very creative,1
,1
Great app So far I have not found a better app to spend money on,1
" The WW2 is out of this world, I know there is a ton of guns but would love to see a few more",1
 Thanks for making these apps,1
,1
Colin mc cray rally I played this game on my dad PC and its as good then as it was now I bought for my tablet can't wait to race one more,1
Great Great game play for hours with frends,1
Loved it too much,1
This new game type This new game type is amazing Keep making more Thanks you,1
"Brilliant design Clearly, a lot of thought went into making this game a perfect balance between challenging, fun and replayable",1
 Belongs in the same category as Tetris good enough to launch a thousand clones,1
,1
The fiviest of stars,1
 By that title you can tell I'm a 12 year old which means I have a lot of time to spare,1
 This excites me,1
 THANK YOU SQUARE ENIX,1
Great App Very handy for following up my favourite teams' performance and useful for betting enthusiasts,1
"Love it, but HD photos are not automatic Used the pro version on apple for ages, loved it so when I got an Android I wanted to get it again",1
 Note that you need to change your settings to get HD output,1
,1
Great app,1
,1
 I would  add amount  of wins it takes to move percentage up,1
 And chance  to play up to four players just like real  game,1
Good Love the game preachy good,1
Easy and accurate So far it's worked every time I used it,1
  Not a lot of bells and whistles to get in the way,1
  Nice and neat,1
,1
A truly awsome game This is by far the best slot game available on the google play store,1
 I highly recommend it any problems ive ever encountered  has been resolved with in hours,1
Thanks for the great support and especially to Anita,1
Your Awsome,1
Doraemon music pad,1
Game I played this game so long u couldn't keep time,1
 It is so fun but I had trouble on time machine it's cool though,1
8 I want to get full version but too much work also one tap you can't stop playing,1
Awesome Love it so  cool P,1
Nice speed and easy to use Thanks to xender team for concern happy to see password,1
,1
,1
 sending or receiving,1
,1
,1
but better will be that prompt for which device is going to join group,1
,1
,1
,1
Perfect game  Smooth movement speed,1
,1
" Nice Dungeon map, nice chatacter design and good story line",1
 Thx to hearing my comment before about auto mode,1
,1
 Know i'm playing this game very enjoyed  Success for Brave Trials v,1
Awesome My almost three year old is playing like a champ,1
 Only downside is she asks for monkey everywhere,1
,1
Nice App My little daughter like it very much,1
Great this is such a excellent fantastic super fantastic wonderful superb game,1
Princess Tailor Boutique I loved this game you got to chose different patterns,1
,1
Loved it  I love this game plzz edit new song in it,1
Love the app My 4 year old loves this I was curious how do We download purchased coloring books on her new device,1
,1
Tictactoe Best brain exercise I've played yet,1
A very nice application,1
 It is a good application to regularly monitor one's blood pressure,1
Love it My son has autism and loves to learn his shapes,1
My favorite game better than any thing Else,1
Great app Needs tick box to enable video recording on startup and 720P1080P video recording options,1
,1
,1
 Really very well made game Wondering why the rating is so low,1
" Download took ages, but I didn't experience any crashes so far",1
,1
Nice but need improvement,1
Helped alot I have an utraclassic my speedometer went out and I needed to keep track of my speed and mileage I found this app and it really helped me as I traveled from PA to Az thank you,1
So good When it hit the wall it turn back and explode i was laughing so hard i almost break my funny bone,1
Most configurable audio  New UI,1
 The new UI is a vast improvement,1
" It's still a little quirky, but you get used to it quickly",1
 Very configurable and great sound,1
 The developer is very responsive,1
,1
Great for comics I think the newest updates fixed the issues the smart lists update introduced,1
" Excellent, really like the new lists and sorting",1
,1
"Does what it's supposed to do, tell me if I'm properly rooted or not",1
 Was using the free version forever but decided to buy the pro version to support the developer,1
,1
Awwwwsome This app is freaken amazing good work great graphics,1
,1
,1
,1
,1
,1
,1
opinion you should add the F2000 or a gun related to the G36c it would be awesome to see those weapons in weaphone action,1
Great Game I love it I'm hooked got to level 27 in two days but I can't get past it,1
 This is so worth 3 dollars im going to look at similar games now,1
,1
,1
,1
,1
Good for those learning Japanese,1
" Its good practice for those that want increased Kanji skills, and also no furigana for most of the series",1
" Anyways, good selection of manga as long as you are able to read Japanese",1
 Stop complaining about no English,1
,1
Dr Panda's Home It is a great game and very fun,1
"Great UI, even better routing",1
" This app knows London like no other, and the striker busting mode works very well",1
,1
Nightingale Beautiful,1
"Just on thing pls read I dunno what the heck it goin  on but I'm at level 7 and where the heck is my first dog I dunno that ether, it won't let me have my new pack member because it thinks I'm  not touching it pls fix this glitch Pls",1
Absolutely fantastic,1
  Love playing this game,1
  Play it every night,1
Love it But i want to Have a larger map And logging equipment,1
Is one of the best games I have played Yup,1
I love it Your the apple to my pie and the straw to my berry your  the smoke to my high and your the one I want to marry,1
Awesome It's more than real,1
"Awesome fighting game ever I love dis game, but hate downloading patches after defeating every masters",1
 Other dan that its 5 star,1
Is great,1
 I love this game with a passion of 100 burning dwarf stars,1
 Its a fun game and it helps my mind open up to puzzles a small bit more,1
,1
Fantastic Great for caching,1
Classic App,1
 I used to read this stories at night,1
  Last part is really good regaeding charactor,1
,1
,1
" Find ol d hidden things, escape",1
,1
,1
 Lots of fun,1
,1
 Gr8 app for those who lyks adventurous things,1
,1
 Who loves to find things,1
,1
,1
,1
,1
 Rate it,1
,1
,1
"Good, locked myself out at first but like it now",1
Good N best games,1
,1
,1
,1
,1
,1
very nice cool game,1
It's awesome It's kool its bringing hard but easy guesses in one game,1
I love this game,1
I don't know what number 26 is,1
 Otherwise the best timepass,1
,1
Finally a game I will play on my phone Totally awesome,1
 Loved playing it on the 360 and love this just as much,1
 Thank you,1
,1
,1
Very addictive I like the new towers they have,1
 Well balanced,1
,1
"Gin Rummy Great game, great animation,Been playing more than a year",1
,1
,1
